,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_coef0,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,precision_score,recall_score
0,0.005473041534423828,0.00017945445735584933,0.002574777603149414,0.00011009555591343683,0.1,balanced,0.0,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 1}",0.7058823529411765,0.5,0.5555555555555556,0.7222222222222222,0.7777777777777778,0.6522875816993464,0.10588638739993848,89,0.42857142857142855,1.0
1,0.006156110763549804,0.0013263863788700156,0.003234100341796875,0.0007606899566731227,0.1,balanced,0.0,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.1}",0.7647058823529411,0.6111111111111112,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.7418300653594772,0.0743778214166081,50,0.42857142857142855,1.0
2,0.005853414535522461,0.0012766293654927104,0.0029073238372802736,0.0005096968213244091,0.1,balanced,0.0,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.01}",1.0,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.33333333333333337,0.3388433484883757,376,0.42857142857142855,1.0
3,0.005395936965942383,0.0002259595602871488,0.002588224411010742,0.00010315271783509428,0.1,balanced,0.0,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
4,0.005542659759521484,0.00020936901521266521,0.002630758285522461,0.00011715554196484996,0.1,balanced,0.0,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 0.0, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
5,0.005697441101074219,0.00019043083994849873,0.0025949954986572267,0.0001400685431908581,0.1,balanced,1.5,1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 1}",0.6470588235294118,0.8333333333333334,0.6111111111111112,0.7777777777777778,0.6666666666666666,0.7071895424836601,0.08412351244843226,65,0.42857142857142855,1.0
6,0.005881452560424804,0.000150615385309475,0.0027919769287109374,6.242736340860456e-05,0.1,balanced,1.5,0.1,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.1}",0.8823529411764706,0.7777777777777778,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.7986928104575164,0.05462895083390029,29,0.42857142857142855,1.0
7,0.005914115905761718,8.763102037883035e-05,0.0027348995208740234,0.00011328801932462173,0.1,balanced,1.5,0.01,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.01}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
8,0.0060330390930175785,0.00012583466086505058,0.0027851104736328126,6.028975611819244e-05,0.1,balanced,1.5,0.001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
9,0.006343364715576172,0.0007777653306944289,0.003119754791259766,0.0004699690533506864,0.1,balanced,1.5,0.0001,"{'C': 0.1, 'class_weight': 'balanced', 'coef0': 1.5, 'gamma': 0.0001}",1.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,421,0.42857142857142855,1.0
